num,M1,M2,mu,WHnu,WHmuL,BHmuL,BHmuR,BmuLmuR,sum
102100,4587.93968,1464.22412,268.544667,2.62295212e-09,-5.67496843e-10,5.45694302e-11,-1.0884642e-10,7.95484974e-12,2.00913314e-09
102120,3727.75284,1591.71859,289.320699,2.25716496e-09,-4.94561689e-10,6.30973422e-11,-1.25893296e-10,1.34148454e-11,1.71322216e-09
102126,3652.79413,1245.79317,281.149078,2.75980752e-09,-5.56308071e-10,5.90913629e-11,-1.17925918e-10,1.29876264e-11,2.15765252e-09
102130,2768.35758,1570.40724,268.56333,2.41374334e-09,-5.19934871e-10,8.70457613e-11,-1.73628571e-10,2.49890134e-11,1.83221467e-09
102142,2228.91245,1554.18151,292.569016,2.23281848e-09,-4.7855875e-10,9.79465325e-11,-1.95444366e-10,4.02913538e-11,1.69705325e-09
102148,1330.25318,1072.49537,292.181964,3.41453748e-09,-7.44161037e-10,1.76433094e-10,-3.51886929e-10,1.23507312e-10,2.61842992e-09
102152,3097.35987,1399.7007,278.706362,2.61063248e-09,-5.56833149e-10,7.58853111e-11,-1.51395303e-10,1.97941546e-11,1.9980835e-09
102154,4479.76884,1294.84766,291.099906,2.78889527e-09,-6.06129933e-10,5.40087076e-11,-1.07756846e-10,8.94732418e-12,2.13796452e-09
102172,4220.96321,1619.88875,284.162937,2.12602942e-09,-4.42664256e-10,5.10645639e-11,-1.01909073e-10,9.35731784e-12,1.64187798e-09
102182,4539.74724,1421.44642,260.097761,2.74675948e-09,-5.85958514e-10,5.53885423e-11,-1.10471515e-10,7.92879802e-12,2.11364679e-09
102184,4559.0174,1082.68645,278.286117,3.33777386e-09,-6.87996282e-10,5.20425242e-11,-1.03833658e-10,8.13439305e-12,2.60612084e-09
102198,4425.9912,1528.50934,253.797839,2.57660087e-09,-5.45120574e-10,5.63089676e-11,-1.12304111e-10,8.18210721e-12,1.98366726e-09
102200,1050.60817,1674.38968,281.396756,2.28139565e-09,-5.18956686e-10,2.195639e-10,-4.37778089e-10,1.84474251e-10,1.72869902e-09
102212,1653.71583,1365.18916,289.518396,2.4129589e-09,-4.85089213e-10,1.16762825e-10,-2.33029851e-10,6.61022248e-11,1.87770489e-09
102220,4145.66006,1492.54119,267.472267,2.56724252e-09,-5.53377765e-10,5.98024689e-11,-1.19285622e-10,1.00256753e-11,1.96440728e-09
102222,4217.08013,1803.58211,260.886452,2.18275945e-09,-4.78330909e-10,6.01477633e-11,-1.19955965e-10,9.49529199e-12,1.65411563e-09
102238,3496.63919,1196.65051,299.601664,2.73151217e-09,-5.52911489e-10,5.97236755e-11,-1.19208807e-10,1.49029926e-11,2.13401854e-09
102246,4301.91349,1039.705,278.442247,3.72579201e-09,-8.15089917e-10,6.22678854e-11,-1.24184873e-10,1.00424963e-11,2.8588276e-09
102250,1158.2354,1490.3491,292.733549,2.47662061e-09,-5.605178e-10,1.96955166e-10,-3.92787807e-10,1.57295451e-10,1.87756562e-09
102260,1052.26522,1232.11834,294.279645,3.01158929e-09,-6.77751814e-10,2.18657803e-10,-4.36022576e-10,1.91660838e-10,2.30813354e-09
102262,4109.82332,1536.04714,296.978257,2.38392762e-09,-5.41440389e-10,6.06998901e-11,-1.21095846e-10,1.13808791e-11,1.79347215e-09
